z,Hz,sigma_Hz,Reference,Correlated
0.07,69.0,19.6,Jimenez_2003,No
0.09,69.0,12.0,Simon_2005,No
0.12,68.6,26.2,Jimenez_2003,No
0.17,83.0,8.0,Simon_2005,No
0.1791,75.0,4.0,Moresco_2012,Yes
0.1993,75.0,5.0,Moresco_2012,Yes
0.2,72.9,29.6,Jimenez_2003,No
0.27,77.0,14.0,Simon_2005,No
0.28,88.8,36.6,Jimenez_2003,No
0.352,83.0,14.0,Moresco_2012,Yes
0.3802,83.0,13.5,Moresco_2016,Yes
0.4,95.0,17.0,Simon_2005,No
0.4004,77.0,10.2,Moresco_2016,Yes
0.4247,87.1,11.2,Moresco_2016,Yes
0.4497,92.8,12.9,Moresco_2016,Yes
0.47,89.0,34.0,Ratsimbazafy_2017,No
0.4783,80.9,9.0,Moresco_2016,Yes
0.48,97.0,62.0,Ratsimbazafy_2017,No
0.593,104.0,13.0,Moresco_2012,Yes
0.68,92.0,8.0,Moresco_2012,Yes
0.75,98.8,33.6,Borghi_2022,No
0.781,105.0,12.0,Moresco_2012,Yes
0.875,125.0,17.0,Moresco_2012,Yes
0.88,90.0,40.0,Ratsimbazafy_2017,No
0.9,117.0,23.0,Stern_2010,No
1.037,154.0,20.0,Moresco_2012,Yes
1.3,168.0,17.0,Stern_2010,No
1.363,160.0,33.6,Moresco_2015,Yes
1.43,177.0,18.0,Stern_2010,No
1.53,140.0,14.0,Stern_2010,No
1.75,202.0,40.0,Stern_2010,No
1.965,186.5,50.4,Moresco_2015,Yes
